SETTLEMENTDATE,TOTALDEMAND,forcastedDemand,testDemand
2018-11-01 11:00:00,,1430.78,
2018-11-01 11:30:00,,1467.77,
2018-11-01 12:00:00,,1460.61,
2018-11-01 12:30:00,,1498.92,
2018-11-01 13:00:00,,1545.21,
2018-11-01 13:30:00,,1565.6,
2018-11-01 14:00:00,,1602.73,
2018-11-01 14:30:00,,1571.55,
2018-11-01 15:00:00,,1544.33,
2018-11-01 15:30:00,,1656.0,
2018-11-01 16:00:00,,1707.39,
2018-11-01 16:30:00,,1758.5,
2018-11-01 17:00:00,,1827.42,
2018-11-01 17:30:00,,1840.64,
2018-11-01 18:00:00,,1883.12,
2018-11-01 18:30:00,,1982.11,
2018-11-01 19:00:00,,1985.05,
